district,crop_area,crop_production,crop_productivity,temperature,humidity,rainfall,soil_moisture,ndvi,ndwi,pest_reports,disease_reports,crop_stress,historical_yield,source,sourceYear
Ahmednagar,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Akola,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Amravati,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Aurangabad,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Bhandara,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Bid,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Buldana,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Chandrapur,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Dhule,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Garhchiroli,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Gondiya,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Greater Bombay,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Hingoli,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Jalgaon,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Jalna,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Kolhapur,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Latur,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Nagpur,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Nanded,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Nandurbar,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Nashik,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Osmanabad,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Parbhani,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Pune,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Raigarh,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Ratnagiri,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Sangli,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Satara,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Sindhudurg,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Solapur,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Thane,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Wardha,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Washim,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
Yavatmal,,,,,,,,,,,,,,REAL_OFFICIAL,2024-25
